DATE,OPEN,HIGH,LOW,CLOSE
2021-01-01,1.31492,1.32285,1.29130,1.29890
2020-12-25,1.31716,1.33985,1.31400,1.31540
2020-12-18,1.32400,1.33183,1.30850,1.31130
2020-12-11,1.34490,1.35618,1.32030,1.32680
2020-12-04,1.35340,1.36229,1.34180,1.34610
2020-11-27,1.36868,1.37604,1.35100,1.35310
2020-11-20,1.37510,1.37816,1.36235,1.36870
2020-11-13,1.37280,1.38449,1.36230,1.37514
2020-11-06,1.42300,1.42995,1.37150,1.37685
2020-10-30,1.40051,1.42769,1.39670,1.42240
2020-10-23,1.41308,1.42410,1.39650,1.40050
2020-10-16,1.38311,1.41699,1.38150,1.41260
2020-10-09,1.39456,1.40884,1.38020,1.38070
2020-10-02,1.42125,1.42160,1.38680,1.39540
2020-09-25,1.37022,1.42712,1.36490,1.42240
2020-09-18,1.37282,1.37785,1.36130,1.37140
2020-09-11,1.37314,1.39017,1.36490,1.37270
2020-09-04,1.35784,1.38425,1.34850,1.37220
2020-08-28,1.39489,1.39787,1.35690,1.35690
2020-08-21,1.39322,1.40104,1.37390,1.39610
2020-08-14,1.39817,1.40637,1.39060,1.39370
2020-08-07,1.39892,1.41285,1.38010,1.39650
2020-07-31,1.40940,1.41019,1.38300,1.39960
2020-07-24,1.42853,1.43382,1.39230,1.40700
2020-07-17,1.43708,1.44455,1.42075,1.42890
2020-07-10,1.43970,1.44433,1.42830,1.43890
2020-07-03,1.45772,1.46330,1.43837,1.44000
2020-06-26,1.46499,1.46732,1.43330,1.45700
2020-06-19,1.46230,1.47506,1.43355,1.46270
2020-06-12,1.43090,1.47043,1.41597,1.45500
2020-06-05,1.50140,1.50230,1.42574,1.43440
2020-05-29,1.52894,1.53349,1.49620,1.49920
2020-05-22,1.55640,1.55739,1.51110,1.52950
2020-05-15,1.53253,1.56175,1.52380,1.55810
2020-05-08,1.56580,1.56840,1.52710,1.53090
2020-05-01,1.56507,1.56507,1.52170,1.55690
2020-04-24,1.57451,1.59889,1.56080,1.56290
2020-04-17,1.57880,1.59598,1.55080,1.57120
2020-04-10,1.66310,1.66820,1.56980,1.57400
2020-04-03,1.63074,1.67167,1.60950,1.66760
2020-03-27,1.74966,1.75366,1.61250,1.62130
2020-03-20,1.62070,1.81199,1.60865,1.72280
2020-03-13,1.51254,1.63199,1.49569,1.61790
2020-03-06,1.54183,1.54183,1.50150,1.50460
2020-02-28,1.51556,1.55388,1.50960,1.53650
2020-02-21,1.48816,1.51815,1.48470,1.50850
2020-02-14,1.49812,1.49968,1.48100,1.48890
2020-02-07,1.49550,1.50060,1.47580,1.49790
2020-01-31,1.46640,1.49620,1.46640,1.49410
2020-01-24,1.45380,1.46650,1.45090,1.46400
2020-01-17,1.44940,1.45510,1.44200,1.45460
2020-01-10,1.44110,1.45980,1.43680,1.44860
2020-01-03,1.43210,1.44260,1.42170,1.43790
2019-12-27,1.44980,1.45010,1.43070,1.43230
2019-12-20,1.45490,1.46200,1.44740,1.44820
2019-12-13,1.46250,1.47020,1.44080,1.45380
2019-12-06,1.47780,1.47870,1.45690,1.46170
2019-11-29,1.47260,1.48030,1.47020,1.47820
2019-11-22,1.46720,1.47460,1.46300,1.47250
2019-11-15,1.45810,1.47690,1.45600,1.46630
2019-11-08,1.44690,1.46020,1.44290,1.45580
2019-11-01,1.46571,1.46800,1.44270,1.44580
2019-10-25,1.46030,1.46830,1.45240,1.46560
2019-10-18,1.47130,1.48710,1.45780,1.45790
2019-10-11,1.47880,1.49000,1.46770,1.47140
2019-10-04,1.47890,1.49860,1.47590,1.47680
2019-09-27,1.47670,1.48350,1.46910,1.47760
2019-09-20,1.45280,1.47890,1.45210,1.47680
2019-09-13,1.45960,1.46230,1.45020,1.45310
2019-09-06,1.48560,1.49510,1.45700,1.46080
2019-08-30,1.49280,1.49310,1.47270,1.48460
2019-08-23,1.47340,1.48390,1.47030,1.47960
2019-08-16,1.47380,1.48430,1.46650,1.47420
2019-08-09,1.47210,1.49730,1.46590,1.47270
2019-08-02,1.44650,1.47810,1.44540,1.47010
2019-07-26,1.41970,1.44850,1.41660,1.44610
2019-07-19,1.42390,1.42910,1.41170,1.41930
2019-07-12,1.43180,1.44680,1.42310,1.42440
2019-07-05,1.42190,1.43740,1.41840,1.43220
2019-06-28,1.44160,1.44230,1.42350,1.42390
2019-06-21,1.45410,1.46330,1.44080,1.44300
2019-06-14,1.42910,1.45710,1.42830,1.45440
2019-06-07,1.44180,1.44320,1.42410,1.42820
2019-05-31,1.44240,1.44900,1.43960,1.44180
2019-05-24,1.45070,1.45640,1.44150,1.44380
2019-05-17,1.43010,1.45650,1.42970,1.45480
2019-05-10,1.42890,1.43580,1.41840,1.42730
2019-05-03,1.41930,1.43120,1.41440,1.42330
2019-04-26,1.39810,1.43070,1.39780,1.42020
2019-04-19,1.39360,1.40090,1.38740,1.39760
2019-04-12,1.40690,1.41060,1.39000,1.39370
2019-04-05,1.40680,1.41770,1.40170,1.40690
2019-03-29,1.41250,1.41520,1.39860,1.40860
2019-03-22,1.41180,1.41680,1.39500,1.41060
2019-03-15,1.42020,1.42290,1.40830,1.40970
2019-03-08,1.40810,1.42770,1.40660,1.41740
2019-03-01,1.39850,1.41430,1.38890,1.41270
2019-02-22,1.40060,1.41390,1.38720,1.40250
2019-02-15,1.40990,1.41730,1.39860,1.39960
2019-02-08,1.37880,1.41600,1.37610,1.40980
2019-02-01,1.39220,1.40050,1.37030,1.37830
2019-01-25,1.39580,1.41300,1.39160,1.39230
2019-01-18,1.38650,1.39890,1.38370,1.39460
2019-01-11,1.40460,1.40530,1.38180,1.38530
2019-01-04,1.41930,1.48090,1.40360,1.40450
2018-12-28,1.42040,1.42490,1.41210,1.41920
2018-12-21,1.39300,1.42130,1.38770,1.41960
2018-12-14,1.39080,1.39800,1.37970,1.39180
2018-12-07,1.35790,1.38990,1.35200,1.38830
2018-11-30,1.38170,1.38870,1.36140,1.36810
2018-11-23,1.36700,1.38810,1.36470,1.38140
2018-11-16,1.38540,1.39540,1.36250,1.36380
2018-11-09,1.39010,1.39210,1.36930,1.38350
2018-11-02,1.40830,1.41800,1.37730,1.38830
2018-10-26,1.40540,1.42410,1.40300,1.41020
2018-10-19,1.40680,1.41030,1.39620,1.40430
2018-10-12,1.41710,1.41980,1.40050,1.40520
2018-10-05,1.38270,1.41970,1.38160,1.41730
2018-09-28,1.37490,1.38820,1.36760,1.38390
2018-09-21,1.39810,1.39990,1.36900,1.37100
2018-09-14,1.40630,1.41110,1.38310,1.39760
2018-09-07,1.39090,1.40830,1.38170,1.40660
2018-08-31,1.36320,1.39320,1.35790,1.38980
